FIRST_NAME,LAST_NAME,TEAM,PTS,AST,MIN,GAME_ID
Derrick,Jones Jr.,DAL,10,0,22:20,0042300405
P.J.,Washington,DAL,4,3,34:29,0042300405
Daniel,Gafford,DAL,6,0,10:54,0042300405
Kyrie,Irving,DAL,15,9,41:07,0042300405
Luka,Dončić,DAL,28,5,43:23,0042300405
Dereck,Lively II,DAL,2,0,24:05,0042300405
Josh,Green,DAL,14,0,22:22,0042300405
Maxi,Kleber,DAL,2,1,13:26,0042300405
Danté,Exum,DAL,4,0,8:49,0042300405
Tim,Hardaway Jr.,DAL,0,0,8:37,0042300405
Jaden,Hardy,DAL,3,0,2:37,0042300405
Dwight,Powell,DAL,0,0,2:37,0042300405
A.J.,Lawson,DAL,0,0,2:37,0042300405
Olivier-Maxence,Prosper,DAL,0,0,2:37,0042300405
Markieff,Morris,DAL,0,0,,0042300405
Jaylen,Brown,BOS,21,6,44:15,0042300405
Jayson,Tatum,BOS,31,11,44:57,0042300405
Al,Horford,BOS,9,2,31:35,0042300405
Derrick,White,BOS,14,1,38:08,0042300405
Jrue,Holiday,BOS,15,4,43:08,0042300405
Kristaps,Porziņģis,BOS,5,0,16:05,0042300405
Sam,Hauser,BOS,8,1,17:07,0042300405
Payton,Pritchard,BOS,3,0,1:25,0042300405
Luke,Kornet,BOS,0,0,2:02,0042300405
Oshae,Brissett,BOS,0,0,0:39,0042300405
Svi,Mykhailiuk,BOS,0,0,0:39,0042300405
Neemias,Queta,BOS,0,0,,0042300405
Jaden,Springer,BOS,0,0,,0042300405
Xavier,Tillman,BOS,0,0,,0042300405
Jordan,Walsh,BOS,0,0,,0042300405
